run,ar_order,ma_order,volatility_type,loss
2,1,2,involatile,0.001476636272855103
3,1,2,involatile,0.0017631183145567775
4,1,2,involatile,0.0016886726953089237
5,1,2,involatile,0.0019748620688915253
6,1,2,involatile,0.0025398817379027605
7,1,2,involatile,0.0021359927486628294
8,1,2,involatile,0.003896655049175024
9,1,2,involatile,0.0016713780350983143
10,1,2,involatile,0.0019620077218860388
11,1,2,involatile,0.001813732204027474
12,1,2,involatile,0.0016998720820993185
13,1,2,involatile,0.003350267419591546
14,1,2,involatile,0.006211648695170879
15,1,2,involatile,0.004193792585283518
16,1,2,involatile,0.0025587694253772497
17,1,2,involatile,0.0019429490203037858
18,1,2,involatile,0.0025510736741125584
19,1,2,involatile,0.003261107485741377
20,1,2,involatile,0.0019209637539461255
1,1,2,volatile,0.008433740586042404
2,1,2,volatile,0.0057554831728339195
3,1,2,volatile,0.010890701785683632
4,1,2,volatile,0.015599613077938557
5,1,2,volatile,0.014009774662554264
6,1,2,volatile,0.0075773983262479305
7,1,2,volatile,0.02130601555109024
8,1,2,volatile,0.013122030533850193
9,1,2,volatile,0.017437037080526352
10,1,2,volatile,0.011450224556028843
11,1,2,volatile,0.031278759241104126
12,1,2,volatile,0.005268987733870745
13,1,2,volatile,0.00727250287309289
14,1,2,volatile,0.007022140081971884
15,1,2,volatile,0.01160665974020958
16,1,2,volatile,0.010829751379787922
17,1,2,volatile,0.025178497657179832
18,1,2,volatile,0.0024730460718274117
19,1,2,volatile,0.004913661628961563
20,1,2,volatile,0.010563788004219532
1,1,2,inline,0.008327496238052845
2,1,2,inline,0.0019966005347669125
3,1,2,inline,0.0037165950052440166
4,1,2,inline,0.002527765464037657
5,1,2,inline,0.0026516879443079233
6,1,2,inline,0.00168920261785388
7,1,2,inline,0.0020253867842257023
8,1,2,inline,0.0024439168628305197
9,1,2,inline,0.0048051876947283745
10,1,2,inline,0.0017019578954204917
11,1,2,inline,0.0027685065288096666
12,1,2,inline,0.0036132989916950464
13,1,2,inline,0.002881024032831192
14,1,2,inline,0.0027038126718252897
15,1,2,inline,0.006038560066372156
16,1,2,inline,0.0013327968772500753
17,1,2,inline,0.0033064621966332197
18,1,2,inline,0.0020323963835835457
19,1,2,inline,0.0011568268528208137
20,1,2,inline,0.0010568957077339292
1,1,3,involatile,0.0037758019752800465
2,1,3,involatile,0.003627859055995941
3,1,3,involatile,0.005303980316966772
4,1,3,involatile,0.004211416933685541
5,1,3,involatile,0.002856764243915677
6,1,3,involatile,0.0018988015362992883
7,1,3,involatile,0.0020614610984921455
8,1,3,involatile,0.0011885486310347915
9,1,3,involatile,0.0022224767599254847
10,1,3,involatile,0.0016977087361738086
11,1,3,involatile,0.0022535633761435747
12,1,3,involatile,0.0019063318613916636
13,1,3,involatile,0.008293945342302322
14,1,3,involatile,0.003118833526968956
15,1,3,involatile,0.004782215692102909
16,1,3,involatile,0.0011937008239328861
17,1,3,involatile,0.0015257770428434014
18,1,3,involatile,0.004273256752640009
19,1,3,involatile,0.0024106327909976244
20,1,3,involatile,0.002231537364423275
1,1,3,volatile,0.015572062693536282
2,1,3,volatile,0.009944732300937176
3,1,3,volatile,0.023873567581176758
4,1,3,volatile,0.005839514546096325
5,1,3,volatile,0.004390157293528318
6,1,3,volatile,0.018511977046728134
7,1,3,volatile,0.008300659246742725
8,1,3,volatile,0.0063043441623449326
9,1,3,volatile,0.01949453540146351
10,1,3,volatile,0.003289383603259921
11,1,3,volatile,0.016133848577737808
12,1,3,volatile,0.014262955635786057
13,1,3,volatile,0.007576779928058386
14,1,3,volatile,0.00815740879625082
15,1,3,volatile,0.01821090839803219
16,1,3,volatile,0.011043531820178032
17,1,3,volatile,0.012837240472435951
18,1,3,volatile,0.01430849265307188
19,1,3,volatile,0.0130230151116848
20,1,3,volatile,0.008775915950536728
1,1,3,inline,0.0041326186619699
2,1,3,inline,0.004430355969816446
3,1,3,inline,0.0028574366588145494
4,1,3,inline,0.0018947283970192075
5,1,3,inline,0.0014853989705443382
6,1,3,inline,0.0018848222680389881
7,1,3,inline,0.0017005210975185037
8,1,3,inline,0.002497914945706725
9,1,3,inline,0.002288296353071928
10,1,3,inline,0.00699498550966382
11,1,3,inline,0.0017973481444641948
12,1,3,inline,0.0017175987595692277
13,1,3,inline,0.0033408300951123238
14,1,3,inline,0.0016507036052644253
15,1,3,inline,0.006720984820276499
16,1,3,inline,0.002343121450394392
17,1,3,inline,0.0013765903422608972
18,1,3,inline,0.001520194229669869
19,1,3,inline,0.002286448609083891
20,1,3,inline,0.00555694755166769
1,1,4,involatile,0.009494110941886902
2,1,4,involatile,0.0015645151725038886
3,1,4,involatile,0.0065431552939116955
4,1,4,involatile,0.0025559975765645504
5,1,4,involatile,0.0013754786923527718
6,1,4,involatile,0.006771887186914682
7,1,4,involatile,0.0023325346410274506
8,1,4,involatile,0.0017150607891380787
9,1,4,involatile,0.0033630230464041233
10,1,4,involatile,0.0022014372516423464
11,1,4,involatile,0.0018404513830319047
12,1,4,involatile,0.001426154631190002
13,1,4,involatile,0.003464441280812025
14,1,4,involatile,0.0016660745022818446
15,1,4,involatile,0.0012447410263121128
16,1,4,involatile,0.0026430755387991667
17,1,4,involatile,0.0012854854576289654
18,1,4,involatile,0.0030936752445995808
19,1,4,involatile,0.002570840297266841
20,1,4,involatile,0.002094064839184284
1,1,4,volatile,0.0075753177516162395
2,1,4,volatile,0.007938933558762074
3,1,4,volatile,0.004859231878072023
4,1,4,volatile,0.009560681879520416
5,1,4,volatile,0.022968262434005737
6,1,4,volatile,0.01649647206068039
7,1,4,volatile,0.030468184500932693
8,1,4,volatile,0.0063981907442212105
9,1,4,volatile,0.015459820628166199
10,1,4,volatile,0.013810094445943832
11,1,4,volatile,0.008202783763408661
12,1,4,volatile,0.009990440681576729
13,1,4,volatile,0.008250023238360882
14,1,4,volatile,0.006010702811181545
15,1,4,volatile,0.03027038276195526
16,1,4,volatile,0.004984362982213497
17,1,4,volatile,0.007293683476746082
18,1,4,volatile,0.012233268469572067
19,1,4,volatile,0.007093485444784164
20,1,4,volatile,0.02133980020880699
1,1,4,inline,0.0013147618155926466
2,1,4,inline,0.009181533008813858
3,1,4,inline,0.002385795349255204
4,1,4,inline,0.0020740546751767397
5,1,4,inline,0.002939420286566019
