run,ar_order,ma_order,volatility_type,loss
16,1,1,volatile,0.010347825475037098
17,1,1,volatile,0.024414509534835815
18,1,1,volatile,0.02097485400736332
19,1,1,volatile,0.021303510293364525
20,1,1,volatile,0.019033683463931084
1,1,2,volatile,0.0285746231675148
2,1,2,volatile,0.01295745000243187
3,1,2,volatile,0.015634529292583466
4,1,2,volatile,0.04985448718070984
5,1,2,volatile,0.004036134108901024
6,1,2,volatile,0.01002193707972765
7,1,2,volatile,0.005589617416262627
8,1,2,volatile,0.006323615554720163
9,1,2,volatile,0.01898353360593319
10,1,2,volatile,0.00476606423035264
11,1,2,volatile,0.01126769743859768
12,1,2,volatile,0.009296664968132973
13,1,2,volatile,0.006827627774327993
14,1,2,volatile,0.018210850656032562
15,1,2,volatile,0.019219717010855675
16,1,2,volatile,0.011455219238996506
17,1,2,volatile,0.010472348891198635
18,1,2,volatile,0.016005778685212135
19,1,2,volatile,0.006147768814116716
20,1,2,volatile,0.01467013731598854
1,1,3,volatile,0.006423523183912039
2,1,3,volatile,0.014422266744077206
3,1,3,volatile,0.026349470019340515
4,1,3,volatile,0.008464542217552662
5,1,3,volatile,0.00883414875715971
6,1,3,volatile,0.03398282453417778
7,1,3,volatile,0.006726479157805443
8,1,3,volatile,0.010259944945573807
9,1,3,volatile,0.00561201386153698
10,1,3,volatile,0.012330648489296436
11,1,3,volatile,0.007681659888476133
12,1,3,volatile,0.02054152823984623
13,1,3,volatile,0.005812216084450483
14,1,3,volatile,0.011897925287485123
15,1,3,volatile,0.005896615795791149
16,1,3,volatile,0.011573415249586105
17,1,3,volatile,0.009135930798947811
18,1,3,volatile,0.018274150788784027
19,1,3,volatile,0.014371270313858986
20,1,3,volatile,0.007955016568303108
1,2,1,volatile,0.010099568404257298
2,2,1,volatile,0.009146326221525669
3,2,1,volatile,0.024655165150761604
4,2,1,volatile,0.007220316678285599
5,2,1,volatile,0.023283476009964943
6,2,1,volatile,0.013056488707661629
7,2,1,volatile,0.01934690773487091
8,2,1,volatile,0.012750881724059582
9,2,1,volatile,0.015534728765487671
10,2,1,volatile,0.021542727947235107
11,2,1,volatile,0.004624180495738983
12,2,1,volatile,0.014916694723069668
13,2,1,volatile,0.0045369574800133705
14,2,1,volatile,0.007850097492337227
15,2,1,volatile,0.00897369347512722
16,2,1,volatile,0.017692163586616516
17,2,1,volatile,0.02216971106827259
18,2,1,volatile,0.006293150130659342
19,2,1,volatile,0.0026092943735420704
20,2,1,volatile,0.011017496697604656
1,2,2,volatile,0.009259616024792194
2,2,2,volatile,0.013351048342883587
3,2,2,volatile,0.01844625547528267
4,2,2,volatile,0.0070363497361540794
5,2,2,volatile,0.007265010848641396
6,2,2,volatile,0.016435010358691216
7,2,2,volatile,0.011922989971935749
8,2,2,volatile,0.005138222128152847
9,2,2,volatile,0.016558300703763962
10,2,2,volatile,0.016902314499020576
11,2,2,volatile,0.00615385826677084
12,2,2,volatile,0.006270431913435459
13,2,2,volatile,0.025671420618891716
14,2,2,volatile,0.005606203805655241
15,2,2,volatile,0.0046839239075779915
16,2,2,volatile,0.009536134079098701
17,2,2,volatile,0.006026789546012878
18,2,2,volatile,0.006345671601593494
19,2,2,volatile,0.007088284473866224
20,2,2,volatile,0.014622002840042114
1,2,3,volatile,0.05253216251730919
2,2,3,volatile,0.015248676761984825
3,2,3,volatile,0.009753664024174213
4,2,3,volatile,0.0373440757393837
5,2,3,volatile,0.01270309742540121
6,2,3,volatile,0.012579785659909248
7,2,3,volatile,0.01148186344653368
8,2,3,volatile,0.009918124414980412
9,2,3,volatile,0.009112946689128876
10,2,3,volatile,0.016660213470458984
11,2,3,volatile,0.007027568761259317
12,2,3,volatile,0.018011119216680527
13,2,3,volatile,0.006240916438400745
14,2,3,volatile,0.021063994616270065
15,2,3,volatile,0.011728380806744099
16,2,3,volatile,0.01607709378004074
17,2,3,volatile,0.009256822988390923
18,2,3,volatile,0.00891983974725008
19,2,3,volatile,0.009444410912692547
20,2,3,volatile,0.020779002457857132
1,3,1,volatile,0.008558807894587517
2,3,1,volatile,0.009401665069162846
3,3,1,volatile,0.009414682164788246
4,3,1,volatile,0.031032996252179146
5,3,1,volatile,0.009291090071201324
6,3,1,volatile,0.0060506779700517654
7,3,1,volatile,0.011093423701822758
8,3,1,volatile,0.010105770081281662
9,3,1,volatile,0.005698135122656822
10,3,1,volatile,0.006522433832287788
11,3,1,volatile,0.013204439543187618
12,3,1,volatile,0.01645096018910408
13,3,1,volatile,0.00603888975456357
14,3,1,volatile,0.011349798180162907
